,b,epsp,alpha,Ec,Ev,Dn,Dp,gc,gv,N0,DIinf,EAI,Plim,inverted,dE,gcE,EcE,bE,epsE,DE,dH,gvH,EvH,bH,epsH,DH,tn,tp,vnE,vpE,vnH,vpH,ion_vmpp
229,5.000000000000001e-07,15.0,10000000.0,-3.8,-5.4,0.0001,0.0001,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,1.0,5e+22,1e+24,-3.9,1e-07,3.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-07,10.0,9.999999999999999e-10,1e-08,1e-07,1.0,1.0,0.01,1.0,0.8399999999999999
230,3.0000000000000004e-07,30.0,10000000.0,-3.8,-5.4,0.0001,0.0001,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,1.0,5e+22,1e+24,-3.9,1e-07,3.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-07,10.0,9.999999999999999e-10,1e-08,1e-07,1.0,1.0,0.01,1.0,0.8700000000000001
233,5.000000000000001e-07,15.0,20000000.0,-3.75,-5.4,0.0001,0.0001,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,1.0,5e+22,1e+24,-3.9,1e-07,3.0,9.999999999999999e-10,5e+21,1e+24,-5.15,1e-07,10.0,1e-05,1e-07,1e-08,0.01,0.01,1.0,0.01,0.9450000000000003
241,5.000000000000001e-07,15.0,20000000.0,-3.8,-5.35,0.0001,0.0001,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,1.0,5e+22,1e+24,-3.9,1e-07,3.0,9.999999999999999e-10,5e+22,9.999999999999999e+24,-5.25,1e-08,3.0,9.999999999999999e-10,1e-08,1e-07,1.0,1.0,1.0,0.01,0.8699999999999996
242,3.0000000000000004e-07,30.0,20000000.0,-3.8,-5.35,0.0001,0.0001,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,1.0,5e+22,1e+24,-3.9,1e-07,3.0,9.999999999999999e-10,5e+22,9.999999999999999e+24,-5.25,1e-08,3.0,9.999999999999999e-10,1e-08,1e-07,1.0,1.0,1.0,0.01,0.8999999999999998
244,3.0000000000000004e-07,15.0,10000000.0,-3.8,-5.35,0.0001,0.0001,9.999999999999999e+24,1e+24,1e+23,1e-07,0.5,1e+28,1.0,5e+22,1e+24,-3.9,1e-07,3.0,9.999999999999999e-10,5e+22,9.999999999999999e+24,-5.25,1e-08,3.0,9.999999999999999e-10,1e-08,1e-07,1.0,1.0,1.0,1.0,0.8400000000000001
250,3.0000000000000004e-07,30.0,20000000.0,-3.75,-5.35,0.0001,0.0001,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,0.0,5e+21,9.999999999999999e+24,-4.0,1e-08,10.0,1e-05,5e+21,1e+24,-5.15,1e-07,10.0,9.999999999999999e-10,1e-08,1e-07,1.0,1.0,1.0,1.0,0.7500000000000002
255,5.000000000000001e-07,30.0,10000000.0,-3.75,-5.35,0.0001,0.0001,9.999999999999999e+24,1e+24,1e+23,1.0000000000000002e-06,0.3,1e+26,0.0,5e+21,9.999999999999999e+24,-4.0,1e-08,10.0,1e-05,5e+21,1e+24,-5.15,1e-07,10.0,9.999999999999999e-10,1e-08,1e-07,1.0,1.0,1.0,0.01,0.7499999999999994
261,5.000000000000001e-07,15.0,10000000.0,-3.8,-5.4,1e-05,1e-05,1e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.3,1e+28,0.0,5e+22,1e+24,-4.0,1e-07,3.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.25,1e-08,3.0,9.999999999999999e-10,1e-07,1e-08,0.01,0.01,0.01,1.0,0.8999999999999996
272,3.0000000000000004e-07,15.0,20000000.0,-3.8,-5.35,1e-05,1e-05,1e+24,9.999999999999999e+24,1e+23,1e-07,0.5,1e+26,1.0,5e+21,9.999999999999999e+24,-3.9,1e-08,10.0,1e-05,5e+21,9.999999999999999e+24,-5.25,1e-08,3.0,1e-05,1e-08,1e-07,1.0,1.0,0.01,1.0,0.9000000000000006
289,5.000000000000001e-07,15.0,20000000.0,-3.8,-5.4,0.0001,1e-05,1e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.3,1e+28,0.0,5e+22,1e+24,-3.9,1e-08,10.0,1e-05,5e+21,9.999999999999999e+24,-5.25,1e-08,10.0,9.999999999999999e-10,1e-07,1e-08,0.01,1.0,0.01,0.01,0.8849999999999997
290,3.0000000000000004e-07,30.0,20000000.0,-3.8,-5.4,0.0001,1e-05,1e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.3,1e+28,0.0,5e+22,1e+24,-3.9,1e-08,10.0,1e-05,5e+21,9.999999999999999e+24,-5.25,1e-08,10.0,9.999999999999999e-10,1e-07,1e-08,0.01,1.0,0.01,0.01,0.8999999999999995
295,5.000000000000001e-07,30.0,10000000.0,-3.8,-5.4,0.0001,1e-05,1e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.3,1e+28,0.0,5e+22,1e+24,-3.9,1e-08,10.0,1e-05,5e+21,9.999999999999999e+24,-5.25,1e-08,10.0,9.999999999999999e-10,1e-07,1e-08,0.01,1.0,0.01,1.0,0.8700000000000007
299,5.000000000000001e-07,30.0,20000000.0,-3.75,-5.4,0.0001,1e-05,1e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.3,1e+28,0.0,5e+22,1e+24,-3.9,1e-08,10.0,1e-05,5e+21,9.999999999999999e+24,-5.25,1e-08,10.0,1e-05,1e-08,1e-07,1.0,0.01,1.0,0.01,1.0350000000000008
302,3.0000000000000004e-07,30.0,10000000.0,-3.75,-5.4,0.0001,1e-05,1e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.3,1e+28,0.0,5e+22,1e+24,-3.9,1e-08,10.0,1e-05,5e+21,9.999999999999999e+24,-5.25,1e-08,10.0,1e-05,1e-08,1e-07,1.0,0.01,1.0,1.0,1.0200000000000002
304,3.0000000000000004e-07,15.0,20000000.0,-3.8,-5.35,0.0001,1e-05,1e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.3,1e+28,0.0,5e+22,1e+24,-3.9,1e-08,10.0,1e-05,5e+22,1e+24,-5.15,1e-07,3.0,9.999999999999999e-10,1e-07,1e-08,0.01,1.0,1.0,0.01,0.8249999999999997
307,5.000000000000001e-07,30.0,20000000.0,-3.8,-5.35,0.0001,1e-05,1e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.3,1e+28,0.0,5e+22,1e+24,-3.9,1e-08,10.0,1e-05,5e+22,1e+24,-5.15,1e-07,3.0,9.999999999999999e-10,1e-07,1e-08,0.01,1.0,1.0,0.01,0.7499999999999996
309,5.000000000000001e-07,15.0,10000000.0,-3.8,-5.35,0.0001,1e-05,1e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.3,1e+28,0.0,5e+22,1e+24,-3.9,1e-08,10.0,1e-05,5e+22,1e+24,-5.15,1e-07,3.0,9.999999999999999e-10,1e-07,1e-08,0.01,1.0,1.0,1.0,0.7349999999999999
310,3.0000000000000004e-07,30.0,10000000.0,-3.8,-5.35,0.0001,1e-05,1e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.3,1e+28,0.0,5e+22,1e+24,-3.9,1e-08,10.0,1e-05,5e+22,1e+24,-5.15,1e-07,3.0,9.999999999999999e-10,1e-07,1e-08,0.01,1.0,1.0,1.0,0.7949999999999996
313,5.000000000000001e-07,15.0,20000000.0,-3.75,-5.35,0.0001,1e-05,1e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.3,1e+28,0.0,5e+22,1e+24,-3.9,1e-08,10.0,1e-05,5e+22,1e+24,-5.15,1e-07,3.0,1e-05,1e-08,1e-07,1.0,0.01,0.01,0.01,0.9899999999999999
320,3.0000000000000004e-07,15.0,20000000.0,-3.8,-5.4,1e-05,0.0001,1e+24,9.999999999999999e+24,1e+23,1e-07,0.5,1e+26,0.0,5e+22,1e+24,-3.9,1e-08,10.0,9.999999999999999e-10,5e+22,1e+24,-5.15,1e-08,10.0,1e-05,1e-08,1e-07,0.01,1.0,1.0,1.0,0.9749999999999994
324,3.0000000000000004e-07,15.0,10000000.0,-3.8,-5.4,1e-05,0.0001,1e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.3,1e+28,1.0,5e+21,9.999999999999999e+24,-4.0,1e-07,3.0,1e-05,5e+21,9.999999999999999e+24,-5.25,1e-07,3.0,9.999999999999999e-10,1e-07,1e-08,1.0,0.01,0.01,1.0,0.8399999999999999
327,5.000000000000001e-07,30.0,10000000.0,-3.8,-5.4,1e-05,0.0001,1e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.3,1e+28,1.0,5e+21,9.999999999999999e+24,-4.0,1e-07,3.0,1e-05,5e+21,9.999999999999999e+24,-5.25,1e-07,3.0,9.999999999999999e-10,1e-07,1e-08,1.0,0.01,0.01,1.0,0.8250000000000002
335,5.000000000000001e-07,30.0,10000000.0,-3.75,-5.4,1e-05,0.0001,1e+24,9.999999999999999e+24,1e+23,1e-07,0.5,1e+26,0.0,5e+22,1e+24,-3.9,1e-08,10.0,9.999999999999999e-10,5e+22,1e+24,-5.15,1e-08,10.0,9.999999999999999e-10,1e-07,1e-08,1.0,0.01,0.01,0.01,0.9749999999999994
344,3.0000000000000004e-07,15.0,20000000.0,-3.75,-5.35,1e-05,0.0001,1e+24,9.999999999999999e+24,1e+23,1e-07,0.5,1e+26,0.0,5e+22,1e+24,-3.9,1e-08,10.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.25,1e-07,3.0,9.999999999999999e-10,1e-07,1e-08,1.0,0.01,1.0,1.0,0.7500000000000004
349,5.000000000000001e-07,15.0,10000000.0,-3.75,-5.35,1e-05,0.0001,1e+24,9.999999999999999e+24,1e+23,1e-07,0.5,1e+26,0.0,5e+22,1e+24,-3.9,1e-08,10.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.25,1e-07,3.0,9.999999999999999e-10,1e-07,1e-08,1.0,0.01,1.0,0.01,0.7200000000000002
350,3.0000000000000004e-07,30.0,10000000.0,-3.75,-5.35,1e-05,0.0001,1e+24,9.999999999999999e+24,1e+23,1e-07,0.5,1e+26,0.0,5e+22,1e+24,-3.9,1e-08,10.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.25,1e-07,3.0,9.999999999999999e-10,1e-07,1e-08,1.0,0.01,1.0,0.01,0.7800000000000007
353,5.000000000000001e-07,15.0,20000000.0,-3.8,-5.4,0.0001,0.0001,1e+24,9.999999999999999e+24,1e+23,1e-07,0.5,1e+26,0.0,5e+22,1e+24,-4.0,1e-07,3.0,1e-05,5e+22,1e+24,-5.15,1e-08,3.0,1e-05,1e-08,1e-07,0.01,0.01,1.0,1.0,0.9599999999999999
372,3.0000000000000004e-07,15.0,10000000.0,-3.8,-5.35,0.0001,0.0001,1e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.3,1e+28,1.0,5e+21,9.999999999999999e+24,-3.9,1e-08,10.0,9.999999999999999e-10,5e+22,1e+24,-5.15,1e-08,3.0,9.999999999999999e-10,1e-07,1e-08,1.0,1.0,1.0,1.0,0.8999999999999997
377,5.000000000000001e-07,15.0,20000000.0,-3.75,-5.35,0.0001,0.0001,1e+24,9.999999999999999e+24,1e+23,1e-07,0.5,1e+26,0.0,5e+22,1e+24,-4.0,1e-07,3.0,1e-05,5e+21,9.999999999999999e+24,-5.25,1e-07,10.0,9.999999999999999e-10,1e-07,1e-08,1.0,1.0,1.0,1.0,0.7199999999999998
384,3.0000000000000004e-07,15.0,20000000.0,-3.8,-5.4,1e-05,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1e-07,0.3,1e+28,1.0,5e+21,1e+24,-3.9,1e-08,3.0,1e-05,5e+22,1e+24,-5.25,1e-07,10.0,1e-05,1e-08,1e-08,1.0,1.0,1.0,1.0,0.825
388,3.0000000000000004e-07,15.0,10000000.0,-3.8,-5.4,1e-05,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,0.0,5e+22,9.999999999999999e+24,-4.0,1e-07,10.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.15,1e-08,3.0,9.999999999999999e-10,1e-07,1e-07,0.01,0.01,0.01,1.0,0.915000000000001
389,5.000000000000001e-07,15.0,10000000.0,-3.8,-5.4,1e-05,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1e-07,0.3,1e+28,1.0,5e+21,1e+24,-3.9,1e-08,3.0,1e-05,5e+22,1e+24,-5.25,1e-07,10.0,1e-05,1e-08,1e-08,1.0,1.0,1.0,0.01,0.78
391,5.000000000000001e-07,30.0,10000000.0,-3.8,-5.4,1e-05,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,0.0,5e+22,9.999999999999999e+24,-4.0,1e-07,10.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.15,1e-08,3.0,9.999999999999999e-10,1e-07,1e-07,0.01,0.01,0.01,1.0,0.8999999999999998
392,3.0000000000000004e-07,15.0,20000000.0,-3.75,-5.4,1e-05,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,0.0,5e+22,9.999999999999999e+24,-4.0,1e-07,10.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.15,1e-08,3.0,1e-05,1e-08,1e-08,1.0,1.0,1.0,0.01,0.8249999999999996
395,5.000000000000001e-07,30.0,20000000.0,-3.75,-5.4,1e-05,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,0.0,5e+22,9.999999999999999e+24,-4.0,1e-07,10.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.15,1e-08,3.0,1e-05,1e-08,1e-08,1.0,1.0,1.0,0.01,0.7799999999999997
401,5.000000000000001e-07,15.0,20000000.0,-3.8,-5.35,1e-05,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1e-07,0.3,1e+28,1.0,5e+21,1e+24,-3.9,1e-08,3.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-08,3.0,1e-05,1e-08,1e-08,1.0,1.0,0.01,1.0,0.8850000000000003
402,3.0000000000000004e-07,30.0,20000000.0,-3.8,-5.35,1e-05,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1e-07,0.3,1e+28,1.0,5e+21,1e+24,-3.9,1e-08,3.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-08,3.0,1e-05,1e-08,1e-08,1.0,1.0,0.01,1.0,0.9000000000000001
404,3.0000000000000004e-07,15.0,10000000.0,-3.8,-5.35,1e-05,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1e-07,0.3,1e+28,1.0,5e+21,1e+24,-3.9,1e-08,3.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-08,3.0,1e-05,1e-08,1e-08,1.0,1.0,0.01,0.01,0.9000000000000001
407,5.000000000000001e-07,30.0,10000000.0,-3.8,-5.35,1e-05,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1e-07,0.3,1e+28,1.0,5e+21,1e+24,-3.9,1e-08,3.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-08,3.0,1e-05,1e-08,1e-08,1.0,1.0,0.01,0.01,0.8850000000000003
408,3.0000000000000004e-07,15.0,20000000.0,-3.75,-5.35,1e-05,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1e-07,0.3,1e+28,1.0,5e+21,1e+24,-3.9,1e-08,3.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-08,3.0,9.999999999999999e-10,1e-07,1e-07,0.01,0.01,1.0,1.0,0.8699999999999999
414,3.0000000000000004e-07,30.0,10000000.0,-3.75,-5.35,1e-05,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1e-07,0.3,1e+28,1.0,5e+21,1e+24,-3.9,1e-08,3.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-08,3.0,9.999999999999999e-10,1e-07,1e-07,0.01,0.01,1.0,0.01,0.9149999999999998
416,3.0000000000000004e-07,15.0,20000000.0,-3.8,-5.4,0.0001,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,0.0,5e+22,9.999999999999999e+24,-3.9,1e-08,3.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-08,10.0,9.999999999999999e-10,1e-07,1e-07,0.01,1.0,0.01,0.01,0.9599999999999999
419,5.000000000000001e-07,30.0,20000000.0,-3.8,-5.4,0.0001,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,0.0,5e+22,9.999999999999999e+24,-3.9,1e-08,3.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-08,10.0,9.999999999999999e-10,1e-07,1e-07,0.01,1.0,0.01,0.01,0.9537587884838972
421,5.000000000000001e-07,15.0,10000000.0,-3.8,-5.4,0.0001,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,0.0,5e+22,9.999999999999999e+24,-3.9,1e-08,3.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-08,10.0,9.999999999999999e-10,1e-07,1e-07,0.01,1.0,0.01,1.0,0.9450000000000001
422,3.0000000000000004e-07,30.0,10000000.0,-3.8,-5.4,0.0001,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,0.0,5e+22,9.999999999999999e+24,-3.9,1e-08,3.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-08,10.0,9.999999999999999e-10,1e-07,1e-07,0.01,1.0,0.01,1.0,0.9600000000000005
425,5.000000000000001e-07,15.0,20000000.0,-3.75,-5.4,0.0001,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,0.0,5e+22,9.999999999999999e+24,-3.9,1e-08,3.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-08,10.0,1e-05,1e-08,1e-08,1.0,0.01,1.0,0.01,0.7500000000000004
426,3.0000000000000004e-07,30.0,20000000.0,-3.75,-5.4,0.0001,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,0.0,5e+22,9.999999999999999e+24,-3.9,1e-08,3.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-08,10.0,1e-05,1e-08,1e-08,1.0,0.01,1.0,0.01,0.7799999999999992
428,3.0000000000000004e-07,15.0,10000000.0,-3.75,-5.4,0.0001,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,0.0,5e+22,9.999999999999999e+24,-3.9,1e-08,3.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-08,10.0,1e-05,1e-08,1e-08,1.0,0.01,1.0,1.0,0.7799999999999999
432,3.0000000000000004e-07,15.0,20000000.0,-3.8,-5.35,0.0001,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1e-07,0.3,1e+28,1.0,5e+21,1e+24,-4.0,1e-07,10.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.15,1e-08,10.0,1e-05,1e-08,1e-08,1.0,0.01,0.01,1.0,0.7349999999999997
439,5.000000000000001e-07,30.0,10000000.0,-3.8,-5.35,0.0001,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,0.0,5e+22,9.999999999999999e+24,-3.9,1e-08,3.0,1e-05,5e+22,1e+24,-5.25,1e-07,3.0,9.999999999999999e-10,1e-07,1e-07,0.01,1.0,1.0,1.0,0.78
441,5.000000000000001e-07,15.0,20000000.0,-3.75,-5.35,0.0001,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1e-07,0.3,1e+28,1.0,5e+21,1e+24,-4.0,1e-07,10.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.15,1e-08,10.0,9.999999999999999e-10,1e-07,1e-07,0.01,1.0,1.0,1.0,0.7200000000000006
445,5.000000000000001e-07,15.0,10000000.0,-3.75,-5.35,0.0001,1e-05,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,0.0,5e+22,9.999999999999999e+24,-3.9,1e-08,3.0,1e-05,5e+22,1e+24,-5.25,1e-07,3.0,1e-05,1e-08,1e-08,1.0,0.01,0.01,1.0,0.8549999999999995
451,5.000000000000001e-07,30.0,20000000.0,-3.8,-5.4,1e-05,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,1.0,5e+21,1e+24,-4.0,1e-07,10.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-07,3.0,9.999999999999999e-10,1e-07,1e-07,1.0,0.01,0.01,0.01,0.7500000000000002
453,5.000000000000001e-07,15.0,10000000.0,-3.8,-5.4,1e-05,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,1.0,5e+21,1e+24,-4.0,1e-07,10.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-07,3.0,9.999999999999999e-10,1e-07,1e-07,1.0,0.01,0.01,1.0,0.7499999999999994
457,5.000000000000001e-07,15.0,20000000.0,-3.75,-5.4,1e-05,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,1.0,5e+21,1e+24,-4.0,1e-07,10.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-07,3.0,1e-05,1e-08,1e-08,0.01,1.0,1.0,0.01,0.8700000000000003
458,3.0000000000000004e-07,30.0,20000000.0,-3.75,-5.4,1e-05,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,1.0,5e+21,1e+24,-4.0,1e-07,10.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-07,3.0,1e-05,1e-08,1e-08,0.01,1.0,1.0,0.01,0.8999999999999998
460,3.0000000000000004e-07,15.0,10000000.0,-3.75,-5.4,1e-05,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,1.0,5e+21,1e+24,-4.0,1e-07,10.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-07,3.0,1e-05,1e-08,1e-08,0.01,1.0,1.0,1.0,0.8849999999999993
464,3.0000000000000004e-07,15.0,20000000.0,-3.8,-5.35,1e-05,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1e-07,0.3,1e+28,0.0,5e+22,9.999999999999999e+24,-3.9,1e-08,3.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.15,1e-07,3.0,1e-05,1e-08,1e-08,0.01,1.0,0.01,1.0,0.8850000000000003
466,3.0000000000000004e-07,30.0,20000000.0,-3.8,-5.35,1e-05,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,1.0,5e+21,1e+24,-4.0,1e-07,10.0,1e-05,5e+22,1e+24,-5.25,1e-08,10.0,9.999999999999999e-10,1e-07,1e-07,1.0,0.01,1.0,0.01,0.9749999999999994
468,3.0000000000000004e-07,15.0,10000000.0,-3.8,-5.35,1e-05,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,1.0,5e+21,1e+24,-4.0,1e-07,10.0,1e-05,5e+22,1e+24,-5.25,1e-08,10.0,9.999999999999999e-10,1e-07,1e-07,1.0,0.01,1.0,1.0,0.9750000000000001
469,5.000000000000001e-07,15.0,10000000.0,-3.8,-5.35,1e-05,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1e-07,0.3,1e+28,0.0,5e+22,9.999999999999999e+24,-3.9,1e-08,3.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.15,1e-07,3.0,1e-05,1e-08,1e-08,0.01,1.0,0.01,0.01,0.8700000000000007
473,5.000000000000001e-07,15.0,20000000.0,-3.75,-5.35,1e-05,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1e-07,0.3,1e+28,0.0,5e+22,9.999999999999999e+24,-3.9,1e-08,3.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.15,1e-07,3.0,9.999999999999999e-10,1e-07,1e-07,1.0,0.01,1.0,1.0,0.6749999999999996
474,3.0000000000000004e-07,30.0,20000000.0,-3.75,-5.35,1e-05,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1e-07,0.3,1e+28,0.0,5e+22,9.999999999999999e+24,-3.9,1e-08,3.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.15,1e-07,3.0,9.999999999999999e-10,1e-07,1e-07,1.0,0.01,1.0,1.0,0.6900000000000001
481,5.000000000000001e-07,15.0,20000000.0,-3.8,-5.4,0.0001,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,1.0,5e+21,1e+24,-3.9,1e-08,3.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.15,1e-07,10.0,9.999999999999999e-10,1e-07,1e-07,1.0,1.0,0.01,0.01,0.8099999999999994
482,3.0000000000000004e-07,30.0,20000000.0,-3.8,-5.4,0.0001,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,1.0,5e+21,1e+24,-3.9,1e-08,3.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.15,1e-07,10.0,9.999999999999999e-10,1e-07,1e-07,1.0,1.0,0.01,0.01,0.8400000000000004
484,3.0000000000000004e-07,15.0,10000000.0,-3.8,-5.4,0.0001,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,1.0,5e+21,1e+24,-3.9,1e-08,3.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.15,1e-07,10.0,9.999999999999999e-10,1e-07,1e-07,1.0,1.0,0.01,1.0,0.8250000000000006
487,5.000000000000001e-07,30.0,10000000.0,-3.8,-5.4,0.0001,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,1.0,5e+21,1e+24,-3.9,1e-08,3.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.15,1e-07,10.0,9.999999999999999e-10,1e-07,1e-07,1.0,1.0,0.01,1.0,0.825
493,5.000000000000001e-07,15.0,10000000.0,-3.75,-5.4,0.0001,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,1.0,5e+21,1e+24,-3.9,1e-08,3.0,9.999999999999999e-10,5e+21,9.999999999999999e+24,-5.15,1e-07,10.0,1e-05,1e-08,1e-08,0.01,0.01,1.0,1.0,0.8249999999999992
501,5.000000000000001e-07,15.0,10000000.0,-3.8,-5.35,0.0001,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1.0000000000000002e-06,0.5,1e+26,1.0,5e+21,1e+24,-3.9,1e-08,3.0,9.999999999999999e-10,5e+22,1e+24,-5.25,1e-08,3.0,9.999999999999999e-10,1e-07,1e-07,1.0,1.0,1.0,1.0,0.7650000000000003
507,5.000000000000001e-07,30.0,20000000.0,-3.75,-5.35,0.0001,0.0001,9.999999999999999e+24,9.999999999999999e+24,1e+23,1e-07,0.3,1e+28,0.0,5e+22,9.999999999999999e+24,-4.0,1e-07,10.0,1e-05,5e+21,9.999999999999999e+24,-5.15,1e-07,10.0,9.999999999999999e-10,1e-07,1e-07,1.0,1.0,1.0,1.0,0.7499999999999994
