b,epsp,alpha,Ec,Ev,Dn,Dp,gc,gv,N0,DIinf,EAI,Plim,inverted,dE,gcE,EcE,bE,epsE,DE,dH,gvH,EvH,bH,epsH,DH,tn,tp,vnE,vpE,vnH,vpH
4.00E-07,2.41E+01,1.30E+07,-3.7,-5.4,1.70E-04,1.70E-04,8.10E+24,5.80E+24,1.60E+25,6.50E-08,0.58,2.00E+27,0,1.00E+24,5.00E+25,-4,1.00E-07,1.00E+01,1.00E-05,1.00E+24,5.00E+25,-5.10E+00,2.00E-07,3.00E+00,1.00E-06,3.00E-09,3.00E-07,1.00E+05,1.00E+01,1.00E-01,1.00E+05
4.40E-07,2.65E+01,1.43E+07,-4.07E+00,-5.94E+00,1.87E-04,1.87E-04,8.91E+24,6.38E+24,1.76E+25,7.15E-08,6.38E-01,2.20E+27,0.00E+00,1.10E+24,5.50E+25,-4.40E+00,1.10E-07,1.10E+01,1.10E-05,1.10E+24,5.50E+25,-5.61E+00,2.20E-07,3.30E+00,1.10E-06,3.30E-09,3.30E-07,1.10E+05,1.10E+01,1.10E-01,1.10E+05
